date,county,perc_non_home,perc_non_home_ma7
2020-01-01,Dade,15.2296841356878,
2020-01-01,Duval,9.55329902004806,
2020-01-02,Dade,21.7580916630903,
2020-01-02,Duval,19.716837493738,
2020-01-03,Dade,22.7291914323026,
2020-01-03,Duval,20.8683811046829,
2020-01-04,Dade,15.3998869084566,20.048061643048
2020-01-04,Duval,10.6746520613398,16.7226890119842
2020-01-05,Dade,10.1028573112578,21.9436524674243
2020-01-05,Duval,8.48815174594175,19.3419628685099
2020-01-06,Dade,26.7926206847012,23.0418804455565
2020-01-06,Duval,20.5613500550188,20.610449667468
2020-01-07,Dade,28.3240993658401,24.1413819007747
2020-01-07,Duval,27.19615160312,21.7215082594713
2020-01-08,Dade,28.4988199063219,24.4034357655678
2020-01-08,Duval,27.8882160157277,22.2783909407934
2020-01-09,Dade,29.4456875100152,24.5701937983433
2020-01-09,Duval,28.596245086445,22.534102921884
2020-01-10,Dade,30.4257016188299,24.8660813761924
2020-01-10,Duval,28.6457912487057,23.5698817787938
2020-01-11,Dade,17.2342639620087,25.0240786823087
2020-01-11,Duval,14.5728308305947,23.6540339284698
2020-01-12,Dade,11.2701635406863,25.3114791318857
2020-01-12,Duval,10.2781356135763,23.9084597409964
2020-01-13,Dade,28.8638337296449,25.5078274696269
2020-01-13,Duval,27.8118020533872,24.1622848984288
2020-01-14,Dade,29.4300805086541,25.6469714986953
2020-01-14,Duval,27.7852166508517,24.2783679100139
2020-01-15,Dade,30.5106230533612,25.9640146960743
2020-01-15,Duval,29.6691967034144,24.6348554926786
2020-01-16,Dade,30.8201258742032,26.459031747953
2020-01-16,Duval,30.3730211884717,24.9207565255282
2020-01-17,Dade,31.3997098223085,25.0957238755659
2020-01-17,Duval,29.4583723298014,23.2752928085119
2020-01-18,Dade,19.453566343662,25.1744903725778
2020-01-18,Duval,17.0682439092476,23.335240536371
2020-01-19,Dade,14.7352829038372,25.3083714464791
2020-01-19,Duval,12.2794428435237,23.6878802375795
2020-01-20,Dade,19.3206786229355,25.2542489597597
2020-01-20,Duval,16.2935560342729,23.6399099061697
2020-01-21,Dade,29.9814459877368,25.4714931162298
2020-01-21,Duval,28.2048507458649,23.9498459254278
2020-01-22,Dade,31.4477905706702,25.4511662664082
2020-01-22,Duval,32.1376746118744,23.8618055637284
2020-01-23,Dade,30.4412684671675,25.2121620454675
2020-01-23,Duval,30.0372288686029,23.8315919878006
2020-01-24,Dade,32.9204189175997,26.7893879811754
2020-01-24,Duval,31.6279244646078,25.8879517056998
2020-01-25,Dade,19.3112783949105,26.8295425946165
2020-01-25,Duval,16.4519613773521,26.0140203377318
2020-01-26,Dade,13.062253357252,26.7394186249127
2020-01-26,Duval,12.0679478120289,25.3772939622713
2020-01-27,Dade,30.3612601728908,26.8679207074625
2020-01-27,Duval,30.6880740595675,25.3254161267998
2020-01-28,Dade,30.2625282818246,26.9027804257967
2020-01-28,Duval,29.0873311700888,25.3982677376328
2020-01-29,Dade,30.8169227827436,26.3425633363436
2020-01-29,Duval,27.6805899836512,24.9888097615824
2020-01-30,Dade,31.3407830450162,26.02133116557
2020-01-30,Duval,29.6740840203023,24.5386231981963
2020-01-31,Dade,33.1644369459389,25.7823297242064
2020-01-31,Duval,32.1378857404388,23.9336692260276
2020-02-01,Dade,15.3897587687388,25.690595569563
2020-02-01,Duval,13.585755544999,23.7380078402763
2020-02-02,Dade,10.8136281618371,25.4096915508201
2020-02-02,Duval,8.91664186832676,23.6509279485611
2020-02-03,Dade,28.6882500833452,25.176175418659
2020-02-03,Duval,26.4533962543866,22.966626681438
2020-02-04,Dade,29.620389199321,24.75848488059
2020-02-04,Duval,27.7177014698292,22.2115149690191
2020-02-05,Dade,28.8505946515436,25.4828221649353
2020-02-05,Duval,27.0710307416453,22.7725949515778
2020-02-06,Dade,29.7061701198881,25.8084790674771
2020-02-06,Duval,24.8839751504403,23.1992658869083
2020-02-07,Dade,30.2406031794564,26.1320327100483
2020-02-07,Duval,26.852103753507,23.6696218869806
2020-02-08,Dade,20.4601197591555,26.098895312106
2020-02-08,Duval,17.5133154229093,23.7680177834982
2020-02-09,Dade,13.0932264796297,26.3292481090242
2020-02-09,Duval,11.9033384156404,24.0796533396026
2020-02-10,Dade,30.953125581344,26.5145199484142
2020-02-10,Duval,29.745888254893,24.5176024826261
2020-02-11,Dade,29.3884274137247,27.239163090391
2020-02-11,Duval,28.4064727454522,25.4993106645023
2020-02-12,Dade,30.4630642299712,27.3766986683117
2020-02-12,Duval,29.2524796343763,25.9291183934632
2020-02-13,Dade,31.0030729956182,27.9436672148558
2020-02-13,Duval,27.9496191516046,26.4061908918544
2020-02-14,Dade,35.3131051732935,26.945698640574
2020-02-14,Duval,33.7240610266405,25.2018733372732
2020-02-15,Dade,21.4228688046003,27.3116998930921
2020-02-15,Duval,20.5219695256357,25.5051343357169
2020-02-16,Dade,17.0620063054388,27.4815442984458
2020-02-16,Duval,15.2428459043783,25.5832993112992
2020-02-17,Dade,23.9673455613711,28.0066638081689
2020-02-17,Duval,21.3156653728246,26.4625866093293
2020-02-18,Dade,31.9504361813518,28.043242038932
2020-02-18,Duval,30.5292997345586,26.4653945285767
2020-02-19,Dade,31.6519750674468,28.2588856649305
2020-02-19,Duval,29.7996344634523,26.4620716798527
2020-02-20,Dade,34.6789095636803,28.1006644256209
2020-02-20,Duval,34.1046302378152,26.4181851881796
2020-02-21,Dade,35.5691527886352,29.3406690108618
2020-02-21,Duval,33.7437164613725,27.8336774698799
2020-02-22,Dade,22.9323741865893,27.8631211389358
