date,sgmi_comp,county,prop_non_home,prop_non_home_ma7
2020-01-01,0.832773109880158,Duval,0.0955329902004806,0.167226890119842
2020-01-02,0.832773109880158,Duval,0.19716837493738,0.167226890119842
2020-01-03,0.832773109880158,Duval,0.208683811046829,0.167226890119842
2020-01-04,0.832773109880158,Duval,0.106746520613398,0.167226890119842
2020-01-05,0.806580371314901,Duval,0.0848815174594175,0.193419628685099
2020-01-06,0.79389550332532,Duval,0.205613500550188,0.20610449667468
2020-01-07,0.782784917405287,Duval,0.2719615160312,0.217215082594713
2020-01-08,0.777216090592066,Duval,0.278882160157277,0.222783909407934
2020-01-09,0.77465897078116,Duval,0.28596245086445,0.22534102921884
2020-01-10,0.764301182212062,Duval,0.286457912487057,0.235698817787938
2020-01-11,0.763459660715303,Duval,0.145728308305947,0.236540339284698
2020-01-12,0.760915402590036,Duval,0.102781356135763,0.239084597409964
2020-01-13,0.758377151015712,Duval,0.278118020533872,0.241622848984288
2020-01-14,0.757216320899861,Duval,0.277852166508517,0.242783679100139
2020-01-15,0.753651445073214,Duval,0.296691967034144,0.246348554926786
2020-01-16,0.750792434744718,Duval,0.303730211884717,0.249207565255282
2020-01-17,0.767247071914881,Duval,0.294583723298014,0.232752928085119
2020-01-18,0.766647594636291,Duval,0.170682439092476,0.23335240536371
2020-01-19,0.763121197624205,Duval,0.122794428435237,0.236878802375795
2020-01-20,0.763600900938303,Duval,0.162935560342729,0.236399099061697
2020-01-21,0.760501540745722,Duval,0.282048507458649,0.239498459254278
2020-01-22,0.761381944362716,Duval,0.321376746118744,0.238618055637284
2020-01-23,0.761684080121994,Duval,0.300372288686029,0.238315919878006
2020-01-24,0.741120482943002,Duval,0.316279244646078,0.258879517056998
2020-01-25,0.739859796622682,Duval,0.164519613773521,0.260140203377318
2020-01-26,0.746227060377287,Duval,0.120679478120289,0.253772939622713
2020-01-27,0.746745838732002,Duval,0.306880740595675,0.253254161267998
2020-01-28,0.746017322623672,Duval,0.290873311700888,0.253982677376328
2020-01-29,0.750111902384176,Duval,0.276805899836512,0.249888097615824
2020-01-30,0.754613768018037,Duval,0.296740840203023,0.245386231981963
2020-01-31,0.760663307739724,Duval,0.321378857404388,0.239336692260276
2020-02-01,0.762619921597237,Duval,0.13585755544999,0.237380078402763
2020-02-02,0.763490720514389,Duval,0.0891664186832676,0.236509279485611
2020-02-03,0.77033373318562,Duval,0.264533962543866,0.22966626681438
2020-02-04,0.777884850309809,Duval,0.277177014698292,0.222115149690191
2020-02-05,0.772274050484222,Duval,0.270710307416453,0.227725949515778
2020-02-06,0.768007341130917,Duval,0.248839751504402,0.231992658869083
2020-02-07,0.763303781130194,Duval,0.26852103753507,0.236696218869806
2020-02-08,0.762319822165018,Duval,0.175133154229093,0.237680177834982
2020-02-09,0.759203466603974,Duval,0.119033384156404,0.240796533396026
2020-02-10,0.754823975173739,Duval,0.29745888254893,0.245176024826261
2020-02-11,0.745006893354977,Duval,0.284064727454522,0.254993106645023
2020-02-12,0.740708816065368,Duval,0.292524796343763,0.259291183934632
2020-02-13,0.735938091081456,Duval,0.279496191516046,0.264061908918544
2020-02-14,0.747981266627268,Duval,0.337240610266405,0.252018733372732
2020-02-15,0.744948656642831,Duval,0.205219695256357,0.255051343357169
2020-02-16,0.744167006887008,Duval,0.152428459043783,0.255832993112992
2020-02-17,0.735374133906707,Duval,0.213156653728246,0.264625866093293
2020-02-18,0.735346054714233,Duval,0.305292997345586,0.264653945285767
2020-02-19,0.735379283201473,Duval,0.297996344634523,0.264620716798527
2020-02-20,0.735818148118204,Duval,0.341046302378152,0.264181851881796
2020-02-21,0.721663225301201,Duval,0.337437164613725,0.278336774698799
2020-02-22,0.732583757198153,Duval,0.204987095845674,0.267416242801847
2020-02-23,0.728103618774721,Duval,0.149356404626667,0.271896381225279
2020-02-24,0.725640068469698,Duval,0.312241113447265,0.274359931530302
2020-02-25,0.722333862587877,Duval,0.228849274066924,0.277666137412123
2020-02-26,0.719322664456278,Duval,0.329357313598544,0.280677335543722
2020-02-27,0.72359406727523,Duval,0.358291154513316,0.27640593272477
2020-02-28,0.726532753318292,Duval,0.360580605786472,0.273467246681708
2020-02-29,0.707423187115845,Duval,0.226065482766867,0.292576812884155
2020-03-01,0.708174628601476,Duval,0.119456584894004,0.291825371398524
2020-03-02,0.708140356860952,Duval,0.291670311145831,0.291859643139049
2020-03-03,0.706014624061802,Duval,0.362616237484052,0.293985375938198
2020-03-04,0.700226663822532,Duval,0.324097223199126,0.299773336177468
2020-03-05,0.687181515611738,Duval,0.358531056696988,0.312818484388262
2020-03-06,0.67915026547166,Duval,0.375460735380517,0.32084973452834
2020-03-07,0.684841424962679,Duval,0.266581204441756,0.315158575037321
2020-03-08,0.688696912308673,Duval,0.210772622369564,0.311303087691327
2020-03-09,0.700548537516587,Duval,0.347889062126378,0.299451462483413
2020-03-10,0.70556143861732,Duval,0.322778121046919,0.29443856138268
2020-03-11,0.717936565008456,Duval,0.297108811777168,0.282063434991545
2020-03-12,0.726580724710607,Duval,0.275569680241585,0.273419275289393
2020-03-13,0.744762078819197,Duval,0.340370427675392,0.255237921180803
2020-03-14,0.761454101503908,Duval,0.179955319703805,0.238545898496092
2020-03-15,0.775265747110664,Duval,0.150263504454503,0.224734252889336
2020-03-16,0.78556487056538,Duval,0.220619583366248,0.21443512943462
2020-03-17,0.806809494076282,Duval,0.205933962253944,0.193190505923718
2020-03-18,0.817153107087998,Duval,0.200427292529874,0.182846892912002
2020-03-19,0.827514019258108,Duval,0.203475816058574,0.172485980741892
