date,smooth_ma7,smooth_ma14,unsmooth
2020-01-01,17.7806778341563,20.8297310051267,12.2088307531162
2020-01-02,17.7806778341563,20.8297310051267,19.5501555561285
2020-01-03,17.7806778341563,20.8297310051267,21.1387869579031
2020-01-04,17.7806778341563,20.8297310051267,13.3638876846598
2020-01-05,19.9099890318867,20.8297310051267,10.0102061904629
2020-01-06,21.1306183671567,20.8297310051267,21.9671914459447
2020-01-07,22.2568228691009,20.8297310051267,26.225686250879
2020-01-08,22.6102052947861,22.033158156138,27.1140091372288
2020-01-09,22.7960845363249,22.7694849499827,28.0945609030189
2020-01-10,23.6102439220488,23.3870303252765,29.0222184715125
2020-01-11,23.8787841760971,23.7627582573691,15.8375646644557
2020-01-12,24.1563272803893,24.0544428102247,11.3113608812345
2020-01-13,24.4083515328087,23.8053059315527,27.666307146012
2020-01-14,24.517237781452,23.9840855526369,28.1054680292172
2020-01-15,24.9153112199522,24.2549536763316,29.0568108672741
2020-01-16,25.3128010841245,24.3758704845295,29.8587306699545
2020-01-17,24.0003679410566,24.5555323111074,29.784422212016
2020-01-18,24.0893869291768,24.7028867496774,18.6240787339568
2020-01-19,24.353580072274,24.8146573010833,14.0937899304408
2020-01-20,24.3433894362503,24.9399641637437,18.4792751445371
2020-01-21,24.5938268407629,25.0264523132534,28.7286009460579
2020-01-22,24.4904622794026,25.0436474714934,30.9061628689549
2020-01-23,24.316513518042,25.0403427528864,29.7873962177883
2020-01-24,25.8795603864308,25.1743479697133,31.5374840436044
2020-01-25,25.96351769733,24.8160917428736,17.9005268044351
2020-01-26,25.7337148707128,24.4768253788066,12.8761486009165
2020-01-27,25.7372960695226,25.023901836108,29.4206032232583
2020-01-28,25.7548690986637,24.8885217410632,29.3163021223524
2020-01-29,25.1417212063445,24.545087606233,29.2975430826348
2020-01-30,24.6371372395712,24.2773100082176,29.8124646094567
2020-01-31,24.1682432857853,23.9221824484011,31.660495247592
2020-02-01,23.8135257847963,24.0080599155853,13.6084915582006
2020-02-02,23.3564603417531,24.0039481930822,9.34406083350368
2020-02-03,22.8173239469126,23.9935813292221,26.1383455467568
2020-02-04,22.0894957981385,23.8854348599681,26.8332796154297
2020-02-05,22.8743986248261,23.8368326760856,26.0980849813327
2020-02-06,23.3707591465932,23.6870308924912,26.0385098455727
2020-02-07,23.818919372659,23.7832393296459,26.5656982061736
2020-02-08,23.9573439351398,24.3158028124219,19.1028113450136
2020-02-09,24.317205010418,24.8255278856482,12.8185844858738
2020-02-10,24.5567378380699,24.6890553619046,29.2754671292172
2020-02-11,25.4769828611532,24.9267733235517,27.802251552795
2020-02-12,25.7572070000176,25.1316263145212,28.6171125082799
2020-02-13,26.2802966247032,25.6621843201807,27.7152396391362
2020-02-14,25.5591913511502,26.107664089502,33.0074133677566
2020-02-15,25.8962027119637,26.2535408926184,21.0643803170646
2020-02-16,25.9460476186245,26.452880322578,16.4802118586728
2020-02-17,26.7676308022915,26.5275393966523,24.2277302143462
2020-02-18,26.7383453178508,26.1217942128222,30.1613310784895
2020-02-19,26.7498747852191,26.3702555826784,28.9660268549054
2020-02-20,26.6254640204527,26.7922291372092,33.4663219248055
2020-02-21,27.4958874421545,26.8831998880474,32.8024149766718
2020-02-22,26.3473857136808,26.994705529844,21.1450865886425
2020-02-23,26.7944635467324,26.712315532028,15.6093365053081
2020-02-24,26.8168274721268,27.0159561942096,30.3206941662585
2020-02-25,27.028054458244,27.4105615052036,22.1218189791737
2020-02-26,27.2395362744688,27.6130882811909,32.0955716862664
2020-02-27,26.7991670436033,27.7822372162419,33.6228694025667
2020-02-28,26.5360249462647,28.0955468335402,34.2810038794922
2020-02-29,28.4737372967263,28.467352724463,22.6254593022161
2020-03-01,28.4317130156494,28.7455322507878,12.5267518892495
2020-03-02,28.747646960357,29.0554103118017,28.4786994848885
2020-03-03,29.1630392088364,29.7816539303308,35.6858054324049
2020-03-04,29.6951691744571,29.6770702032044,31.8014017187277
2020-03-05,30.6918974579723,29.3714916340815,35.8344070155199
2020-03-06,31.5747956773387,29.3024836604179,37.1887496188484
2020-03-07,31.0895705639353,28.9591345761979,26.3503690615611
2020-03-08,30.9224273907594,29.2017282725224,19.5038498738558
2020-03-09,29.9953363078061,28.8116689167998,34.658987020453
2020-03-10,29.4419281119995,27.8044077229787,32.2892296385809
2020-03-11,28.2230999779387,26.9895225546068,30.6313995064965
2020-03-12,27.7115590870724,25.865987796198,29.3447694348469
2020-03-13,26.0485421562609,24.5062333673205,33.314892248202
2020-03-14,24.5192448820222,23.3473966118799,17.8185721231357
2020-03-15,23.0566177184542,22.5560229994449,15.923063637792
2020-03-16,21.7366392845899,21.1869581907421,23.017868504772
2020-03-17,19.5705386226416,19.8173541403925,21.5841487189101
2020-03-18,18.4716932458211,18.8246120143887,20.3930093615206
2020-03-19,17.4004869118174,17.7289066677637,20.1049203977966
2020-03-20,16.3253742252234,16.1674730308263,18.1521876145642
2020-03-21,15.1154633987628,15.4763843174791,10.1266544853923
2020-03-22,14.5926063103232,14.8429754358282,8.42461929976579
2020-03-23,13.7211740509376,14.0876571232515,15.4920796986138
2020-03-24,12.764407439011,13.3858975789179,13.1147729336863
2020-03-25,12.4810753891371,12.3518643406358,16.7330097424433
2020-03-26,12.2854639598389,11.3960662229282,14.0048945820975
2020-03-27,11.8499400212796,10.5166092092343,11.4548213310783
2020-03-28,11.656331759073,10.0695779832152,8.14333013627453
2020-03-29,10.1111223709485,9.63790641800787,7.05533929467873
2020-03-30,9.07095839491871,8.90274545060029,12.4434121286985
