date,sgmi_comp,county,prop_non_home,prop_non_home_ma7
2020-01-01,0.819252994805395,Broward,0.118881749007805,0.180747005194605
2020-01-02,0.819252994805395,Broward,0.19510824445002,0.180747005194605
2020-01-03,0.819252994805395,Broward,0.211316302377339,0.180747005194605
2020-01-04,0.819252994805395,Broward,0.138798151639132,0.180747005194605
2020-01-05,0.795163109525798,Broward,0.0981644982507932,0.204836890474203
2020-01-06,0.780707573306519,Broward,0.218794595084412,0.219292426693481
2020-01-07,0.767993901103535,Broward,0.284165495552735,0.232006098896465
2020-01-08,0.765134014319155,Broward,0.287510945964986,0.234865985680845
2020-01-09,0.763607084285857,Broward,0.296296997984968,0.236392915714143
2020-01-10,0.752996848187642,Broward,0.300312007798231,0.247003151812358
2020-01-11,0.75080853665919,Broward,0.158817359129791,0.24919146334081
2020-01-12,0.748014463721608,Broward,0.108853008483876,0.251985536278392
2020-01-13,0.746756887523003,Broward,0.293066247771915,0.253243112476997
2020-01-14,0.744915124530744,Broward,0.299483676251905,0.255084875469256
2020-01-15,0.741335188437984,Broward,0.307069456528059,0.258664811562016
2020-01-16,0.73685362269788,Broward,0.305100031375203,0.26314637730212
2020-01-17,0.752477172492677,Broward,0.313204348744041,0.247522827507323
2020-01-18,0.751727697239765,Broward,0.18387691177911,0.248272302760235
2020-01-19,0.749609591936862,Broward,0.140223968664605,0.250390408063138
2020-01-20,0.749148944395476,Broward,0.183701399208339,0.250851055604525
2020-01-21,0.746817758260085,Broward,0.304730003022286,0.253182241739915
2020-01-22,0.747551398501219,Broward,0.321896193648381,0.252448601498781
2020-01-23,0.749620656362061,Broward,0.308324564164909,0.250379343637939
2020-01-24,0.730996632554069,Broward,0.329522651691773,0.269003367445931
2020-01-25,0.730329595012374,Broward,0.178741430091177,0.269670404987626
2020-01-26,0.731561739537249,Broward,0.125739163638706,0.268438260462751
2020-01-27,0.730605724745704,Broward,0.314069565864287,0.269394275254296
2020-01-28,0.731073120237956,Broward,0.309399265814151,0.268926879762044
2020-01-29,0.736198268237549,Broward,0.313271181974255,0.263801731762451
2020-01-30,0.740065620045462,Broward,0.315016667705724,0.259934379954538
2020-01-31,0.744629494304556,Broward,0.326250883246008,0.255370505695444
2020-02-01,0.746910713827068,Broward,0.142865394094024,0.253089286172932
2020-02-02,0.750198334864488,Broward,0.0986677009833167,0.249801665135512
2020-02-03,0.753995057933894,Broward,0.282122446050627,0.246004942066107
2020-02-04,0.75867346809033,Broward,0.293430729156573,0.24132653190967
