date,county,prop_non_home,prop_non_home_ma7
2020-01-01,Leonplus,0.209980052273915,0.247283842204641
2020-01-02,Leonplus,0.299370433873497,0.247283842204641
2020-01-03,Leonplus,0.300035295347622,0.247283842204641
2020-01-04,Leonplus,0.192635880815473,0.247283842204641
2020-01-05,Leonplus,0.139050962343096,0.262522193335998
2020-01-06,Leonplus,0.272937250392054,0.265880887981655
2020-01-07,Leonplus,0.316977020386827,0.271090195725662
2020-01-08,Leonplus,0.316648510193414,0.267337000295896
2020-01-09,Leonplus,0.3228812963931,0.26655488014338
2020-01-10,Leonplus,0.336500449555672,0.273939792397879
2020-01-11,Leonplus,0.166363512807109,0.275155480546636
2020-01-12,Leonplus,0.133576121275483,0.277985145246808
2020-01-13,Leonplus,0.324631636173549,0.28107720110522
2020-01-14,Leonplus,0.325486837428123,0.283387564782317
2020-01-15,Leonplus,0.336456163094616,0.293741766858338
2020-01-16,Leonplus,0.344525687401986,0.301823932491972
2020-01-17,Leonplus,0.352672995295348,0.285083325172499
2020-01-18,Leonplus,0.238842927339258,0.286788094047117
2020-01-19,Leonplus,0.190151280710925,0.291547828196919
2020-01-20,Leonplus,0.207447384937238,0.292794922513997
2020-01-21,Leonplus,0.337420219550444,0.294073927816066
2020-01-22,Leonplus,0.369774302143231,0.290402623208494
2020-01-23,Leonplus,0.353255347621537,0.28674933368568
2020-01-24,Leonplus,0.361626032409828,0.306809224105743
2020-01-25,Leonplus,0.213143795086252,0.307684536435356
2020-01-26,Leonplus,0.164578254051228,0.303008004330017
2020-01-27,Leonplus,0.347866617877679,0.302636600814448
2020-01-28,Leonplus,0.343547405857741,0.303223829298639
2020-01-29,Leonplus,0.337038577405858,0.296527370483017
2020-01-30,Leonplus,0.350655523012552,0.28905400180256
2020-01-31,Leonplus,0.365736631799163,0.283018267354049
2020-02-01,Leonplus,0.166268583376895,0.278444429148848
2020-02-02,Leonplus,0.112264673288029,0.272540009868928
2020-02-03,Leonplus,0.305616476738108,0.251394071886476
2020-02-04,Leonplus,0.311530538421328,0.245964737510268
2020-02-05,Leonplus,0.295707642446419,0.253190964080352
2020-02-06,Leonplus,0.202633957135389,0.259374553058024
2020-02-07,Leonplus,0.327731291165708,0.264358590097827
2020-02-08,Leonplus,0.216852169367486,0.266082022253753
2020-02-09,Leonplus,0.15554979613173,0.271290263609887
2020-02-10,Leonplus,0.340504736016728,0.287061966992756
2020-02-11,Leonplus,0.323594563512807,0.295365095959973
2020-02-12,Leonplus,0.332165331939362,0.301060664625495
2020-02-13,Leonplus,0.313035880815473,0.304773223807035
2020-02-14,Leonplus,0.385853193936226,0.300485251288179
2020-02-15,Leonplus,0.256721150026137,0.303912603987753
2020-02-16,Leonplus,0.181537710402509,0.303984852512882
2020-02-17,Leonplus,0.310488928384736,0.312101811664551
2020-02-18,Leonplus,0.347586032409828,0.312015485027257
2020-02-19,Leonplus,0.332671071615264,0.310532193264133
2020-02-20,Leonplus,0.369854594877156,0.311358766335599
2020-02-21,Leonplus,0.38524890747517,0.315842846688074
2020-02-22,Leonplus,0.246338107684266,0.30634996639534
2020-02-23,Leonplus,0.18732372190277,0.309737994175192
2020-02-24,Leonplus,0.341877490852065,0.311621417369875
2020-02-25,Leonplus,0.28113587036069,0.313156660443581
2020-02-26,Leonplus,0.356387266074229,0.318544649391382
2020-02-27,Leonplus,0.383038557239937,0.315216930774401
2020-02-28,Leonplus,0.395995608991113,0.312506788141289
2020-02-29,Leonplus,0.284054030318871,0.327511767605108
2020-03-01,Leonplus,0.1640296915839,0.325169409304757
2020-03-02,Leonplus,0.322906492420282,0.325008348891046
2020-03-03,Leonplus,0.386170726607423,0.327417665596296
2020-03-04,Leonplus,0.339990757971772,0.329128202524083
2020-03-05,Leonplus,0.381911134343962,0.338517129415279
2020-03-06,Leonplus,0.412860825927862,0.346111014860727
2020-03-07,Leonplus,0.296027788813382,0.343397242924352
2020-03-08,Leonplus,0.229752179822269,0.345193918303338
2020-03-09,Leonplus,0.376063690538421,0.340099720707938
2020-03-10,Leonplus,0.367174323052797,0.339874551564484
2020-03-11,Leonplus,0.352567485624673,0.339046018075901
2020-03-12,Leonplus,0.346251751176163,0.34807198476995
2020-03-13,Leonplus,0.41128464192368,0.3525469007583
2020-03-14,Leonplus,0.290228054393305,0.359170695844552
2020-03-15,Leonplus,0.292933946680606,0.364265350463326
2020-03-16,Leonplus,0.407388102456874,0.369724181021163
2020-03-17,Leonplus,0.41354088865656,0.362115152677015
2020-03-18,Leonplus,0.38823006795609,0.35497488921242
2020-03-19,Leonplus,0.384463565081025,0.341847263194945
2020-03-20,Leonplus,0.358021443514644,0.328472629485738
2020-03-21,Leonplus,0.24024621014114,0.3090458801765
2020-03-22,Leonplus,0.201040564558285,0.298831631800725
2020-03-23,Leonplus,0.31376566649242,0.285471156854866
2020-03-24,Leonplus,0.277553643491898,0.271632522664789
2020-03-25,Leonplus,0.316730329325667,0.266571620558553
2020-03-26,Leonplus,0.29094024046001,0.263773929572069
2020-03-27,Leonplus,0.2611510041841,0.258887683585959
2020-03-28,Leonplus,0.20481989539749,0.254509411612246
2020-03-29,Leonplus,0.181456727652901,0.235627771704845
2020-03-30,Leonplus,0.27956194458965,0.221365744970471
2020-03-31,Leonplus,0.246905739675902,0.208656033148786
2020-04-01,Leonplus,0.184558849973863,0.198932910163543
2020-04-02,Leonplus,0.191106053319394,0.188948147263087
2020-04-03,Leonplus,0.172183021432305,0.172635337166754
2020-04-04,Leonplus,0.136758034500784,0.162324355163916
