date,county,prop_non_home,prop_non_home_ma7
2020-01-01,Sumterplus,0.0989944385036112,0.145051664379376
2020-01-02,Sumterplus,0.163407808007854,0.145051664379376
2020-01-03,Sumterplus,0.16957020019634,0.145051664379376
2020-01-04,Sumterplus,0.0991431175934366,0.145051664379376
2020-01-05,Sumterplus,0.0839818385807448,0.162529460341391
2020-01-06,Sumterplus,0.18180468147395,0.172505803790558
2020-01-07,Sumterplus,0.218459566299698,0.184412959419796
2020-01-08,Sumterplus,0.221339010237711,0.190706049590792
2020-01-09,Sumterplus,0.233242212152023,0.194948341881455
2020-01-10,Sumterplus,0.25292028960101,0.20237681188456
2020-01-11,Sumterplus,0.143194748790407,0.205013395048434
2020-01-12,Sumterplus,0.113677884615385,0.207335584310858
2020-01-13,Sumterplus,0.233803971495688,0.211220048183357
2020-01-14,Sumterplus,0.236915648446813,0.21162252884991
2020-01-15,Sumterplus,0.237594335074679,0.213821836777625
2020-01-16,Sumterplus,0.260433459259519,0.215235961338115
2020-01-17,Sumterplus,0.255737654266882,0.205078708039909
2020-01-18,Sumterplus,0.158589904284412,0.205068509145822
2020-01-19,Sumterplus,0.123576756538812,0.208994566850652
2020-01-20,Sumterplus,0.162703198408246,0.208759397507688
2020-01-21,Sumterplus,0.236844256188206,0.209786223917377
2020-01-22,Sumterplus,0.265076739008485,0.20853525035812
2020-01-23,Sumterplus,0.258787273858776,0.206242565262905
2020-01-24,Sumterplus,0.262925439134703,0.217312654016448
2020-01-25,Sumterplus,0.149833089369609,0.219063783470404
2020-01-26,Sumterplus,0.107527960872309,0.21504637397698
2020-01-27,Sumterplus,0.240193819683052,0.212716965976139
2020-01-28,Sumterplus,0.249102162365893,0.213381130605948
2020-01-29,Sumterplus,0.236954872554519,0.206958787486668
2020-01-30,Sumterplus,0.242481417852886,0.201912272640985
2020-01-31,Sumterplus,0.26757459154337,0.197566073111485
2020-02-01,Sumterplus,0.104876687534649,0.192073339432219
2020-02-02,Sumterplus,0.0722023569525278,0.187511350316048
2020-02-03,Sumterplus,0.209770422976547,0.181861663858477
2020-02-04,Sumterplus,0.210653026611037,0.171865201228126
2020-02-05,Sumterplus,0.205020948741323,0.180562786191409
2020-02-06,Sumterplus,0.202933612649884,0.187794301272918
2020-02-07,Sumterplus,0.197599353130916,0.19292953725621
2020-02-08,Sumterplus,0.165759782277627,0.196923741757459
2020-02-09,Sumterplus,0.12282296252309,0.201192457886362
2020-02-10,Sumterplus,0.245717074859596,0.202962113139951
2020-02-11,Sumterplus,0.238612458119778,0.213721821184869
2020-02-12,Sumterplus,0.234901961643644,0.215250791878556
2020-02-13,Sumterplus,0.215321199425005,0.218338018876481
2020-02-14,Sumterplus,0.27291730944534,0.212129196818594
2020-02-15,Sumterplus,0.176462577133441,0.214925251966538
2020-02-16,Sumterplus,0.144433551508565,0.214752696180453
2020-02-17,Sumterplus,0.202255320454386,0.224148873489083
2020-02-18,Sumterplus,0.258184844155389,0.222050014337751
2020-02-19,Sumterplus,0.233694071141048,0.222327423743528
2020-02-20,Sumterplus,0.281094440585414,0.223813352646304
2020-02-21,Sumterplus,0.258225295386018,0.232396582558625
2020-02-22,Sumterplus,0.178404442973874,0.223335850355204
2020-02-23,Sumterplus,0.154835053828,0.229700783254503
2020-02-24,Sumterplus,0.262337929840631,0.230668028170574
2020-02-25,Sumterplus,0.194759718731443,0.235249872672856
2020-02-26,Sumterplus,0.278248601436144,0.235594064473395
2020-02-27,Sumterplus,0.287865154997907,0.227516120539911
2020-02-28,Sumterplus,0.290298206901992,0.223578219874179
2020-02-29,Sumterplus,0.180813785577646,0.243444625761498
2020-03-01,Sumterplus,0.098289446293614,0.242903684958681
2020-03-02,Sumterplus,0.234772625180504,0.246194250353808
2020-03-03,Sumterplus,0.333824559942677,0.251451579529614
2020-03-04,Sumterplus,0.274462015816426,0.258322549785931
2020-03-05,Sumterplus,0.310899112763799,0.269844696883138
2020-03-06,Sumterplus,0.327099511132634,0.279358080241613
2020-03-07,Sumterplus,0.228910577371861,0.271584319055685
2020-03-08,Sumterplus,0.178944475974064,0.270368527171628
2020-03-09,Sumterplus,0.301366308689831,0.26243344319832
2020-03-10,Sumterplus,0.279408231641179,0.255706782256027
2020-03-11,Sumterplus,0.265951472628029,0.247091832374558
2020-03-12,Sumterplus,0.255353524950642,0.244745563271182
2020-03-13,Sumterplus,0.280012884536584,0.231520425402571
2020-03-14,Sumterplus,0.168605928201577,0.219185859939972
2020-03-15,Sumterplus,0.162520592250433,0.207976945443398
2020-03-16,Sumterplus,0.208790343609555,0.198306628053687
2020-03-17,Sumterplus,0.193066273402987,0.182265185924696
2020-03-18,Sumterplus,0.187489071152005,0.170863491714567
2020-03-19,Sumterplus,0.187661303222668,0.157724280468277
2020-03-20,Sumterplus,0.167722789633645,0.149598395165069
2020-03-21,Sumterplus,0.088794068730676,0.140637454281971
2020-03-22,Sumterplus,0.0705461135264007,0.139347510575125
2020-03-23,Sumterplus,0.151909146487101,0.132636150802614
2020-03-24,Sumterplus,0.130339687221301,0.124268332969176
2020-03-25,Sumterplus,0.178459465204082,0.121552985751888
2020-03-26,Sumterplus,0.140681784815092,0.12078372165895
2020-03-27,Sumterplus,0.109148064799577,0.116163895312201
2020-03-28,Sumterplus,0.0697866382096629,0.114268707073066
2020-03-29,Sumterplus,0.0651612648758329,0.0969226461382233
2020-03-30,Sumterplus,0.119570362059861,0.0872747384253999
2020-03-31,Sumterplus,0.117073369547354,0.079903722309399
2020-04-01,Sumterplus,0.0570370386601834,0.0749413444675464
