date,county,prop_non_home,prop_non_home_ma7
2019-01-01,Dade,0.101238100079419,0.129948676577428
2019-01-01,Duval,0.0477727165020791,0.0879286936153578
2019-01-02,Dade,0.156527128156295,0.129948676577428
2019-01-02,Duval,0.111486752742015,0.0879286936153578
2019-01-03,Dade,0.172860501397067,0.129948676577428
2019-01-03,Duval,0.137850835669515,0.0879286936153578
2019-01-04,Dade,0.188929045186887,0.129948676577428
2019-01-04,Duval,0.138867326171328,0.0879286936153578
2019-01-05,Dade,0.105842869062464,0.143626156491202
2019-01-05,Duval,0.0677173189761412,0.101881665691079
2019-01-06,Dade,0.0661318940709995,0.152037482380351
2019-01-06,Duval,0.0373040555966108,0.107749300845817
2019-01-07,Dade,0.118111198088863,0.159809307429996
2019-01-07,Duval,0.0745018496498162,0.111644828902175
2019-01-08,Dade,0.196980459475837,0.165944525236467
2019-01-08,Duval,0.145443521032125,0.116425312341422
2019-01-09,Dade,0.215406409380336,0.166514466093642
2019-01-09,Duval,0.152560198825183,0.115934548070415
2019-01-10,Dade,0.227263276744584,0.166714226510942
2019-01-10,Duval,0.165119532064023,0.116132257265245
2019-01-11,Dade,0.231875569832186,0.17932024457033
2019-01-11,Duval,0.172330710246054,0.126564560452937
2019-01-12,Dade,0.109832455062688,0.182427596020588
2019-01-12,Duval,0.0642819690790918,0.129358034797498
2019-01-13,Dade,0.0675302169920966,0.182559617898986
2019-01-13,Duval,0.0386880199604211,0.130456419041478
2019-01-14,Dade,0.20635332450458,0.182050654907391
2019-01-14,Duval,0.147527971963658,0.130972939143252
2019-01-15,Dade,0.218731919627645,0.176290036392953
2019-01-15,Duval,0.164997841444058,0.130175083386106
2019-01-16,Dade,0.216330562529125,0.177584345199426
2019-01-16,Duval,0.160248888533037,0.130872106062768
2019-01-17,Dade,0.22370053580342,0.177270730087996
2019-01-17,Duval,0.168735172776444,0.130221251597664
2019-01-18,Dade,0.191551240231119,0.162671152666478
2019-01-18,Duval,0.166745719946031,0.116841552719695
2019-01-19,Dade,0.118892616707997,0.161250914009266
2019-01-19,Duval,0.0691611278157254,0.115274598765952
2019-01-20,Dade,0.0653349112120871,0.160735331294432
2019-01-20,Duval,0.0341320387046933,0.113427684820846
2019-01-21,Dade,0.104156282553954,0.160252360938993
2019-01-21,Duval,0.0538700798178806,0.111174988635315
2019-01-22,Dade,0.208790249027157,0.165590045407355
2019-01-22,Duval,0.154029163767854,0.112291057117415
2019-01-23,Dade,0.212721483525288,0.161380004165593
2019-01-23,Duval,0.147320490917294,0.111938327591353
2019-01-24,Dade,0.22031974331535,0.160254954699616
2019-01-24,Duval,0.152966299477727,0.110228434418619
2019-01-25,Dade,0.228915031509649,0.174595766930568
2019-01-25,Duval,0.174558199320731,0.122961765969257
2019-01-26,Dade,0.0894223280156656,0.176653850393722
2019-01-26,Duval,0.0666920211332905,0.123651774305162
2019-01-27,Dade,0.0574595649502491,0.178303856243214
2019-01-27,Duval,0.0221627864955546,0.125822470095924
2019-01-28,Dade,0.204541968170613,0.183684330866995
2019-01-28,Duval,0.143003400672344,0.13195183846675
2019-01-29,Dade,0.223196833269238,0.181748223497385
2019-01-29,Duval,0.158859222119193,0.131123592900523
2019-01-30,Dade,0.224271524471733,0.185880075259427
2019-01-30,Duval,0.162515361452627,0.131158851632782
2019-01-31,Dade,0.257983065681815,0.189392161307848
2019-01-31,Duval,0.195871878073508,0.133975308840434
2019-02-01,Dade,0.215362279922379,0.190236585448736
2019-02-01,Duval,0.168760480357141,0.134178322842994
2019-02-02,Dade,0.118345290349958,0.191416811715358
2019-02-02,Duval,0.0669388322591047,0.135720020223807
2019-02-03,Dade,0.0820441672891977,0.191894843490775
2019-02-03,Duval,0.0418779869491219,0.135375538499039
2019-02-04,Dade,0.210452937156834,0.188684310328446
2019-02-04,Duval,0.14442449869026,0.133692999400427
2019-02-05,Dade,0.231458417135591,0.192662116964722
2019-02-05,Duval,0.169651103784884,0.136333880146896
2019-02-06,Dade,0.227617746899653,0.192905998110651
2019-02-06,Duval,0.160103989379256,0.137041251217424
2019-02-07,Dade,0.23550933354551,0.191152144469754
2019-02-07,Duval,0.184094104383221,0.13655255198812
2019-02-08,Dade,0.243206926376309,0.189440190412117
2019-02-08,Duval,0.187246645582426,0.136045925847382
2019-02-09,Dade,0.120052458371459,0.187349841632646
2019-02-09,Duval,0.0718904297527993,0.136916905102214
2019-02-10,Dade,0.0697671918029236,0.18342249808143
2019-02-10,Duval,0.0384570923439971,0.137861470016012
2019-02-11,Dade,0.198469258753376,0.18326646756394
2019-02-11,Duval,0.14087811570509,0.139445803706966
2019-02-12,Dade,0.216825975679296,0.181996161122431
2019-02-12,Duval,0.17574795856871,0.135126874091038
2019-02-13,Dade,0.200126342041137,0.18302667261668
2019-02-13,Duval,0.166715943775839,0.137438372957351
2019-02-14,Dade,0.234417119923083,0.185454587414438
2019-02-14,Duval,0.195184440219902,0.139601301656377
2019-02-15,Dade,0.234314781285744,0.17474044799232
2019-02-15,Duval,0.157014138270926,0.131556288693448
2019-02-16,Dade,0.127266038831203,0.176002113213956
2019-02-16,Duval,0.0880709218169956,0.132087295000945
2019-02-17,Dade,0.086762595387229,0.181256745057021
2019-02-17,Duval,0.0535975932371738,0.135475136573295
2019-02-18,Dade,0.123470282798546,0.182486873717728
2019-02-18,Duval,0.0845630249645922,0.137980024431175
2019-02-19,Dade,0.225657632230754,0.185595028228457
2019-02-19,Duval,0.179465002721187,0.147118792296838
2019-02-20,Dade,0.236908764942587,0.187547696707267
